label,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236,t237,t238,t239,t240,t241,t242,t243,t244,t245,t246,t247,t248,t249,t250,t251,t252,t253,t254,t255,t256,t257,t258,t259,t260,t261,t262,t263,t264,t265,t266,t267,t268,t269,t270,t271,t272,t273,t274,t275,t276,t277,t278,t279,t280,t281,t282,t283,t284,t285,t286,t287,t288,t289,t290,t291,t292,t293,t294,t295,t296,t297,t298,t299,t300,t301,t302,t303,t304,t305,t306,t307,t308,t309,t310,t311,t312,t313,t314,t315,t316,t317,t318,t319,t320,t321,t322,t323,t324,t325,t326,t327,t328,t329,t330,t331,t332,t333,t334,t335,t336,t337,t338,t339,t340,t341,t342,t343,t344,t345,t346,t347,t348,t349,t350,t351,t352,t353,t354,t355,t356,t357,t358,t359,t360,t361,t362,t363,t364,t365,t366,t367,t368,t369,t370,t371,t372,t373,t374,t375,t376,t377,t378,t379,t380,t381,t382,t383,t384,t385,t386,t387,t388,t389,t390,t391,t392,t393,t394,t395,t396,t397,t398,t399,t400
1,55017,63675,62316,64480,61415,58861,56908,58217,54747,56378,53097,57119,55471,57063,57375,56251,56411,56860,57086,56651,54255,52910,49020,53480,48381,52135,46233,49234,49082,59786,60556,53391,56277,58509,60305,58452,60064,60877,59893,59022,56855,58075,56642,56914,52045,56327,56494,57398,55891,56511,57129,57357,57163,57105,45417,47928,39101,64225,65217,64727,65153,63259,64229,64291,69971,69788,68138,71344,50627,39102,30253,36970,40749,45196,48358,50641,49950,51727,36944,38369,35258,40288,42446,53979,55997,54842,54442,58045,58075,57081,62157,63507,62672,65112,50040,60502,52973,56215,47681,58466,62227,52269,40148,35060,46731,41674,31031,56460,61912,52413,39432,32241,55561,49105,49030,59025,58479,50196,55791,56509,56321,59228,58198,58632,49793,54800,50227,53560,35306,15273,13529,20587,12539,19992,19808,20580,20628,20350,20666,20929,20154,20863,20885,14597,18899,21783,21933,20498,21009,20510,21889,22276,31969,20818,21852,23035,23642,22933,23371,23324,23353,23825,23984,23203,23715,23523,23717,23388,23091,23648,23454,23860,20843,20154,19494,20334,21326,21611,22908,22426,21738,21436,19716,19849,19741,22388,22182,20300,22334,23153,23753,23743,23766,24139,24005,23476,21082,19530,20524,20259,21099,20927,20862,22455,22903,22015,23220,23504,23475,23350,23572,23502,23372,23062,19173,18421,20734,20629,20592,19591,19732,18708,21677,20221,20364,20211,17047,21536,21951,23696,23575,23462,23404,23735,23138,23591,23680,23037,23230,23814,23234,23489,23772,23708,23596,23469,23820,23136,21388,18810,20455,20212,21746,20809,20372,20527,20521,20607,20536,24115,21238,21532,23239,22687,23286,24133,22965,23250,23339,23259,23379,23340,23269,23256,23393,23168,23009,23241,23435,23392,23103,23382,23768,23168,22997,21254,20366,20390,20329,19872,20176,20014,20331,20648,20558,20502,20530,21150,20462,20578,19996,19773,18751,19375,19214,19732,21799,21196,19724,20333,21024,20688,20205,21738,19040,19109,20161,18377,19821,21524,19742,23480,19776,20315,21052,19523,16423,21175,19925,18808,18852,19946,20492,21070,19728,19501,20770,19429,21988,20025,19551,21083,20543,20383,20326,20144,20376,20293,20258,18772,16565,19694,20455,20128,20486,20486,20396,20238,20513,20110,23113,20562,20140,20581,20252,20290,20139,20135,20535,20249,20096,20017,20060,20284,20355,20323,20010,24814,19688,20127,18781,20246,20063,19393,19758,20593,21005,20299,20197,20367,19629,19493,19325,17309,20305,20804,20592,21378,20437,20315
1,59938,56197,56114,55576,51683,52464,53955,54532,50352,48194,43188,29381,57625,60861,67359,68533,60981,52987,55577,46378,52635,55032,51397,50224,50286,54922,55812,54026,47105,53300,47369,54808,52110,54194,47844,45955,42622,62224,68234,65889,64738,44764,62054,63040,68119,61528,60122,41691,33216,42082,46419,56171,54430,57252,37145,43558,30008,18181,16525,18041,15515,23657,34992,42656,43846,53844,53256,45612,30303,30830,45726,47308,35374,53295,55417,56846,56129,56220,56129,47401,42466,62093,57449,57390,56068,57537,62581,60008,60094,62638,60586,58684,62878,62182,63564,33057,60453,62703,59947,61430,35519,32276,42240,53204,59103,55670,26690,40849,38623,58630,63861,50554,28849,33961,36694,36075,63182,53458,55787,56291,53565,57443,36485,22201,28853,30779,13729,13343,15480,21451,23599,18503,19926,16542,20448,20209,20449,20422,20293,18435,20747,14021,20168,20825,19985,20472,19778,20306,20379,20458,20358,20456,20992,20385,20317,18967,20523,20537,20761,20393,20909,20263,20998,20351,20740,20324,20280,20459,20517,20656,20643,20790,20227,20550,20606,19734,20735,20720,20728,20705,20486,16287,15618,12974,20513,20720,19780,28508,21217,20628,19567,20326,21882,19777,20906,20297,20600,22248,23616,21180,21100,21636,21225,22260,21886,21833,20036,20607,21763,20656,20932,20028,20553,20666,15981,18850,20343,20144,22600,20254,22405,20672,22048,17983,20476,19440,19261,18996,21584,17888,18095,20121,20418,20539,20386,20252,20552,20153,21511,20642,20604,21117,20708,20490,20576,20483,20954,20426,20384,20660,20630,20506,20796,20493,20662,19419,20687,20410,20808,21484,20517,20616,20377,19166,20367,19784,20182,20753,20733,20566,20419,20256,20550,20862,20383,20346,19364,12451,12489,19309,20040,20239,20130,21246,20511,20847,20521,20452,20318,19319,19533,20022,20327,20517,20664,20351,20592,20508,20321,20639,20469,21051,20553,21425,20543,21351,21082,20538,23478,19793,20260,19926,20071,20407,20685,20063,21634,20628,20228,21151,20266,20499,21230,16376,21550,21346,20861,26642,21059,20586,21562,21021,23515,23800,19440,19807,19711,20104,20114,21048,20381,20111,20522,20635,22204,22895,19972,20694,20580,20352,21067,20372,20303,20508,20521,19322,20110,20463,20315,21347,20308,20671,20849,20235,21239,20587,19735,18657,17512,20398,20527,20420,20499,20381,21574,20188,20361,19912,20518,20885,20175,20578,20470,20178,20503,20492,20449,20586,20564,20853,20747,20212,20352,20346,20332,20445,20093,20133,20319,20025
1,62483,63077,46914,51831,54353,50580,53264,45691,52356,55800,43683,45868,42108,30632,26967,36962,39144,42844,36180,39251,56893,59374,53018,51687,33125,34185,53705,53803,54834,54289,50103,34772,51718,62865,63925,46339,30503,56497,49917,60500,55902,58630,59327,59853,63962,59939,59779,59854,62356,58381,50221,40809,36731,42629,51925,52239,61281,66314,64705,60204,63613,63796,44351,41565,51219,45207,52181,54357,56287,43177,48103,36730,20820,29524,70267,66079,61198,60836,46858,24268,38669,51826,65378,64329,63972,63785,45816,59838,58718,58780,59164,65639,63958,63833,38713,41449,50409,59604,63510,63496,62577,35761,42413,61432,64343,61514,59139,53249,58698,57344,63769,64257,57669,60198,57800,59158,63534,50760,57655,64315,61040,50274,51420,42318,51295,62660,32453,13322,27403,20376,14943,18706,21433,26295,35507,19442,20651,18673,23847,22290,27559,20617,21287,21348,22392,21543,20630,21908,23050,20605,20604,21001,20748,20993,20891,20915,21262,21067,21404,20867,20440,21405,21255,21163,20924,20923,21082,22232,20708,20934,21190,16626,20588,20984,20908,20925,21224,21062,22093,20928,20165,20704,23241,20914,20911,21590,23501,20322,20770,19293,19552,21255,19666,20231,21093,20120,12976,20475,20645,20915,21591,24994,21302,21994,19698,22187,19722,20593,21871,20842,20714,19131,19726,20880,20147,18366,22119,22134,18384,20811,20733,22285,18993,21203,20931,22687,20523,21083,20984,20889,20911,20880,19008,18557,20118,19789,20546,22703,22820,23551,22869,20711,20788,20309,16206,19915,20076,21798,23165,20767,20260,20482,20526,20454,19404,20796,20316,20985,20933,20749,22159,19712,19734,20734,20146,20632,21254,20656,20693,20344,20836,21080,21568,21270,20992,20039,22061,20555,20493,21137,21159,20743,20778,21096,20615,19310,20357,21339,21443,23141,23471,23695,23276,23669,23797,23885,23641,24416,21167,19077,19491,20586,20958,20946,20854,20723,20770,21246,21148,20790,21482,21183,20616,21426,21075,21750,19835,19626,19490,24877,21107,22139,20503,20817,21049,20011,18719,21108,21064,20583,20913,20811,20028,20584,20726,20272,19862,20261,21019,20567,20653,21701,20784,21054,20827,21131,21005,20961,21340,20603,20983,20107,21270,19571,20638,20647,21317,20412,21971,22490,22473,20438,20029,20734,20501,20365,20437,21172,21226,20628,21086,22190,20883,22075,21684,21723,22525,21929,20401,20911,21046,20577,21465,20817,22451,20528,20363,23139,22578,20404,20894,21171,20803,21119,20734,19910,21490,20659,21232,20904
1,64186,63589,69423,69215,69485,66219,68993,63104,65514,62718,61562,63480,63416,63072,63259,63484,63405,62834,62458,62965,61733,62259,57152,36818,59398,57759,60077,52517,67464,57558,64034,61160,62976,54800,49632,42300,37354,37725,43647,33936,28051,40335,63162,55375,34803,38656,34758,39434,46040,51393,57402,56983,56870,56684,56922,57963,65788,61366,55850,45612,46800,42849,50686,60427,67767,63430,63519,63485,62498,62639,53609,67046,46738,41218,45253,55222,43544,55269,57318,58040,42036,35341,47802,63636,64612,59645,55209,69231,56007,35540,37972,36583,35685,53840,58405,56578,54467,53605,60026,63302,61988,53995,36803,33619,35945,36988,39914,54148,56999,61488,62133,60766,52908,34757,48835,57323,57957,54698,47766,55734,60834,59485,57135,54710,35660,36546,45284,30972,41795,37751,49966,53930,44746,45016,33230,14235,17000,22275,22697,12409,12543,25593,20797,19956,18656,25923,22538,17322,21292,21199,19548,23094,23525,23295,23416,23410,23108,23371,23322,23357,22955,23149,23214,23291,23288,23291,23672,24520,21897,22448,21630,20596,21006,21587,19673,21522,22832,22961,23479,22861,23418,19849,21326,23390,22646,23165,23246,23433,23258,22874,22935,23598,22413,20520,20718,20914,20797,21160,20794,20546,20830,21027,21086,22311,20389,20769,20870,21275,20291,20506,20528,20400,20457,20166,20450,20381,20750,20835,20867,20337,20477,20660,20587,20728,20371,21438,22899,20324,18677,20489,19004,20295,20961,25722,17687,18957,20518,20567,20213,20577,20593,18661,19931,20901,22694,22703,22907,22806,22772,21780,20829,20523,20591,20517,20465,20763,20805,20565,20539,20467,21404,21030,20667,22130,20485,20593,19802,21308,20460,20663,20721,20673,20125,20613,19133,20753,20880,20787,20892,20526,20689,20732,20902,20917,20497,20650,18739,21263,21172,22267,21295,19982,20293,20501,20042,20470,20352,20555,21452,17317,19589,20354,20499,20830,20676,20315,20681,20769,20594,20787,21269,19747,20505,20606,20762,20872,19117,19224,20834,20592,20448,20372,20493,20758,20678,21124,22422,18868,18920,18978,20220,18907,20258,20031,20860,19640,20398,20736,20515,20345,21200,20616,20601,19851,18285,20555,24026,20754,20269,20985,22128,23087,23204,23247,23100,23244,23405,23315,23064,23228,23198,23146,23270,24304,22947,23509,23176,22145,23259,23030,23459,23061,22469,22078,21827,23108,23352,22246,23292,23249,23896,23629,23305,23541,23254,23190,23221,23023,22839,23615,22519,20592,20858,20619,20010,18542,18463,20327,20505,20580
1,61352,60256,63347,61820,63140,56345,56164,54655,56126,48988,48056,50820,50421,51650,55330,52826,54537,56067,59899,53887,46604,55540,39520,55166,45726,53621,54665,55196,55138,50064,50161,42253,40762,32903,51469,48863,33730,46567,57594,47009,59933,63793,51010,30298,43799,47803,40796,43704,53289,57087,56643,58272,66049,47669,42064,47850,39845,34110,41195,42025,41687,56467,60235,59874,53523,63655,63806,62242,61832,45134,59431,62250,63123,45519,34995,48304,45461,57295,71072,64533,48585,48600,44303,43721,61030,49697,62739,44678,35696,32204,24254,26762,55149,63775,64117,43107,37656,52745,57263,50724,39882,46318,51914,57447,62280,58738,57040,57919,56167,61886,58545,57096,40763,41983,57320,45305,45673,57499,53568,55603,46804,41864,39729,29621,43458,43671,45932,54078,47753,47667,32053,23545,24228,21100,20402,20388,21065,20863,20972,20879,20178,20873,20840,21217,21363,21034,22277,24067,23149,18316,24185,21757,24152,24229,21345,24457,24344,23699,23917,18970,22845,20092,22485,21273,21343,20221,20757,20866,21162,21255,21040,21037,21241,20875,21048,21361,21193,21335,20969,21267,20955,20931,21014,21077,20460,19577,23184,24087,23714,24105,24416,24152,24448,24333,23686,24180,23874,24160,24275,24337,24504,24159,21131,21830,23253,20925,18729,20568,20218,20671,20651,20627,20574,20573,20992,20531,20207,19106,16563,19073,20561,18900,20797,21259,22270,21519,24068,19229,20727,20192,20459,21064,20488,20525,20611,20398,20376,20600,20659,20657,21026,20389,20992,21413,20743,20522,19119,20793,20425,20469,20631,21796,20408,20791,20696,21696,17080,20639,19396,20468,20365,20707,20733,21610,20582,20693,20674,20999,20656,20695,20749,19798,20575,20475,20874,20444,20384,20568,20613,20730,20274,20631,20542,20355,20646,19837,20445,20300,21679,20746,20827,20120,20335,22160,24053,20252,19664,20547,20404,20777,20481,20380,20366,20507,20399,20151,20320,23327,23752,24562,24448,24320,24407,24238,23986,24324,24046,24037,21955,22035,23779,21331,20848,21400,18238,21131,21151,20687,20029,20555,21447,20267,20847,20441,20110,20380,20370,20056,20284,20284,20735,21026,20342,21287,22693,20053,20539,22272,19459,20753,20440,20814,21167,20665,20065,21203,23170,22117,22337,22512,22643,16943,20664,24419,24290,24305,24090,24242,27439,24282,24104,24779,24222,24476,24039,24132,24196,24098,21158,20269,21114,21227,21017,20779,20866,20740,20633,21135,20878,21038,20703,20803,21068,20578,21238,20956,22536,24412,22694,24657
1,58383,57192,56198,60455,63504,56488,61112,62853,60725,55489,52038,55369,56397,57841,54035,43594,41220,44039,55731,48314,46296,46830,48547,46215,36934,39896,44274,36608,44352,50207,58433,56128,53259,53167,56602,57081,57187,57407,58025,57643,56117,57761,57276,56788,55505,55610,55375,56833,56235,56774,56818,59409,60133,60741,62178,56628,57723,58002,57177,57627,51567,44605,31852,27054,28614,26452,27875,36494,54120,58020,56362,57824,52508,52243,54149,32187,24723,22452,36138,43397,49606,54536,40166,38592,36430,27445,27293,27502,34820,50482,50168,63453,39727,39289,39251,28042,35288,31566,26863,16116,61604,70237,68721,63849,69999,69432,65420,63313,61499,64638,53619,61326,37295,50302,53491,53966,61808,65744,61583,27368,36268,32650,37353,34156,39612,58629,57457,56989,56987,54551,17829,15604,14522,12557,19850,22143,22753,22943,23123,22281,22954,23292,23525,24317,23129,24121,22938,23365,19783,20532,20807,19799,19643,20261,20710,20892,20985,20960,21212,20835,20852,21121,20908,20270,20772,20914,20825,20959,21217,21875,22579,20570,20993,21083,20214,20388,22987,22709,22957,23074,22473,23140,23077,23078,22889,22875,23172,23129,22223,23048,23003,22808,22777,22220,20920,20918,20808,20807,20966,20648,21141,20628,21004,20357,18408,18735,19471,20477,22586,23057,22967,25941,23093,23209,21982,20092,19345,20189,20029,20275,20902,20545,21214,20383,20442,20609,20275,19535,20533,20794,20844,20630,20509,20833,20600,20572,19248,17583,20913,20522,20859,18039,19461,21125,21547,21772,22766,21952,20094,20173,20206,20191,20870,21655,20467,20730,20651,20710,20935,20605,19656,19769,20314,18819,13495,20511,22988,22469,19746,18673,18761,20756,20626,22621,19917,17941,17901,20984,23118,13088,11550,11737,12225,19505,19077,14274,12415,18737,15187,15079,14257,19852,12804,11914,15051,21243,19867,11341,14023,21045,14420,13957,11622,13653,20176,13537,19109,21485,15919,21319,24007,22317,20552,19995,20561,20762,20845,20925,20960,20767,20619,20865,20786,20257,22190,19652,20546,19436,20391,20896,20443,18690,20102,19834,22524,22796,22645,23068,23208,23112,23038,21411,22556,20679,22015,22108,20134,20622,20317,20727,21154,21024,22029,19820,19422,20672,20679,20615,20987,20580,20606,20349,20507,20437,20600,20384,21194,22272,20090,20594,17024,13108,14644,18471,20731,18381,20692,22878,20775,20265,19801,19668,19318,20629,19552,19002,20353,20663,18606,21344,22338,19913,21541,22299,20248,20889,20970,20504,20783,20560
1,55773,58179,65441,61495,65362,61464,62298,55998,51614,55173,57169,55761,52745,32444,53777,52463,55407,48347,47136,58407,68404,72693,70048,42281,44849,45041,45143,44003,46390,52447,57123,57133,56006,56005,57587,56709,57928,57452,59648,49739,58100,52265,57669,58346,57794,58712,60619,65231,57496,59850,52547,53770,58031,61320,62818,64931,59039,54123,54189,50830,41628,40007,41903,47178,46527,56599,57828,57754,59740,56036,58388,58081,62118,38909,46980,66316,65960,64619,66804,54948,54310,31715,24639,24387,39558,47077,46722,50021,55139,61995,62726,63883,61428,29483,35986,51950,56831,39726,37810,36881,63451,64303,58630,56171,56489,53754,56812,54124,59358,59348,56755,46236,43964,46349,45880,37855,33781,57411,51508,52745,40549,41369,32446,52730,62565,70698,62171,50150,46686,43390,32841,21206,20725,21086,21075,18972,20995,20356,20383,20613,21004,21016,20917,20964,20845,22426,23795,20330,21236,21022,21185,20911,21200,21371,21629,21965,21657,22491,19634,20983,21004,21168,21147,20752,21090,21061,20988,21054,21094,21305,20956,21349,21642,22002,18649,17248,20437,26645,20151,23229,22872,24106,24395,24693,24323,24561,23976,20044,21368,21407,21193,21162,21151,21146,21341,21326,21142,20979,21297,21128,21512,21339,21427,21185,20657,22682,23573,21163,20934,24271,24714,22927,22352,20987,21720,22781,23668,24046,21469,20619,21242,23780,22843,22910,21291,19152,20609,20144,21195,21422,20851,16507,21040,21998,20679,18316,20459,20588,20172,20919,20230,20577,20501,20922,22301,24951,24737,21070,27115,21797,20984,22629,21320,21053,21453,20738,20840,20837,20616,21250,20502,20529,20529,21063,20383,20423,20504,19262,17221,17849,20798,21030,22036,20698,19861,22961,22086,21935,21357,22046,22384,24513,22362,17259,20209,21881,20481,20523,20841,20714,20954,21082,21474,21710,20887,20250,20383,19319,20835,20362,20453,20610,20784,20029,20774,20669,21045,22067,24298,19800,20327,20413,21121,20968,19384,19657,21881,22585,23646,22949,20610,20108,17577,19572,20791,23335,22386,22863,23785,22226,20276,17194,21451,18108,19466,20333,20460,20078,21931,21484,20504,21075,20731,21355,20980,21073,21251,19699,20992,20917,20744,22447,23430,23296,23598,24446,23463,23408,23970,23541,23502,23560,23193,24569,23461,21052,19374,19507,20334,22362,22310,20685,21424,21181,22667,23680,23321,23637,23469,21097,23487,23131,21846,20856,20869,21048,20808,20045,20430,20802,20896,20854,21323,20880,21081,19164,20931,21000,22274,20829
1,63469,61881,68267,68248,68299,64413,64150,61344,61850,55771,61989,61182,62618,61685,61881,61883,61854,62001,61505,62199,61059,61997,40472,56671,54487,60055,52899,60249,40514,37673,54841,60045,61901,47427,46470,58258,66757,50724,44133,44178,44490,46311,52737,45057,43856,43650,43871,43747,44323,32624,36795,38159,39941,45430,51382,42421,29276,48478,53738,62832,66729,65038,37475,41072,60386,59701,59090,61508,59491,44887,43195,43589,48857,54268,30493,42366,54996,35672,26098,24491,46290,50070,44234,49225,51013,40482,30758,37052,29785,27167,39917,23949,48689,45295,61412,45733,38328,35837,42283,36926,41373,48695,34721,61314,62662,62339,39508,44933,53832,53578,54408,55464,59104,53591,57420,61543,58997,61015,58629,60469,59213,55321,53406,52658,54089,54790,53963,51656,49295,21146,18314,19880,19842,17704,14761,15933,17067,19748,18568,19619,19204,21109,17816,19829,19477,19884,19405,20334,20238,20624,20218,20187,21198,19846,20448,20397,20059,20339,19789,20318,20095,20747,19370,19818,20148,19509,19800,19662,19798,21112,21225,23952,27814,19276,20534,20051,20160,19822,22079,22407,22616,22704,22171,21611,19643,19777,18982,19180,19831,20244,19790,20180,19903,20340,19970,20296,19995,19870,20813,19867,19977,20197,19634,20088,20055,20134,20084,20146,20146,18201,19985,19776,20335,18983,19751,21689,21282,19598,22433,22528,22489,22216,22886,22234,20009,20997,20208,23635,20665,19538,19553,19500,19761,19866,19933,19836,20291,19307,20321,20171,20356,21450,19467,18654,19528,19815,20317,18254,18807,19178,17154,19907,20606,20112,19476,19657,19447,19792,19530,20077,19539,19898,20008,20381,20065,20710,19881,20898,20315,20117,19890,19773,20876,19885,19910,19723,19922,19770,19393,19530,20004,20873,19995,20060,19539,19655,20594,19858,19985,20378,19765,20004,19774,19769,19780,20046,19792,21610,20914,22408,22611,22833,22457,22647,22771,20325,19443,19221,19445,19736,20075,19853,20151,20523,19903,19966,20114,19863,19500,19378,20219,20049,19954,19712,19638,20092,20565,18383,19711,20336,19449,20073,19995,20029,19243,22510,22809,19592,19263,19980,20355,18980,19352,19644,20050,19537,19898,20555,19139,16002,18998,16621,21947,17687,19872,19851,20745,20481,17079,18901,20222,20486,19956,19802,19942,19610,20112,19771,19986,19955,19684,20291,20567,20110,20024,20145,20336,19842,19714,20649,18792,20022,22537,22775,22192,22573,21399,19459,19553,19342,19703,19690,19736,19852,19666,19606,19672,19664,19873,19625
1,64632,63579,66857,70530,69828,69033,69245,68176,62298,63219,52925,58539,59006,50177,33792,41136,40554,42574,51140,50268,33285,41978,38715,33689,35002,27668,24754,24431,26009,30205,37220,34781,41891,50895,45094,37014,35042,57641,56711,43303,29507,29920,28342,35447,45827,31549,44331,45997,46264,40933,49540,54252,50167,43002,56935,48454,47868,37881,44001,57218,62745,62771,54923,61022,44936,40249,41307,46541,42573,49754,57447,54602,53994,60557,61808,63204,41814,33363,20589,50097,56516,51074,49841,35836,40376,65431,69615,61874,67958,67246,65943,59271,57586,68314,70539,61981,41452,42442,29384,24413,34745,55362,63741,63277,57335,42188,37716,34468,49580,57380,55864,55469,54072,60939,60291,58065,57126,62461,64076,53614,63124,62972,59143,63033,63045,63341,47966,32038,19513,13456,15744,17939,22762,22190,14040,15941,19264,20522,23516,22223,22608,11330,15327,24555,13434,23002,22477,21960,23113,23086,22877,22805,23207,23117,22841,21987,22595,22742,22913,22694,20267,20176,22013,23083,23118,23241,21834,22440,22627,20610,20757,24886,19688,20685,21072,20832,21570,21252,22369,22657,22959,22737,20418,20527,20620,20057,20467,19695,21103,23868,23902,19446,19708,20937,20765,20448,20093,21285,20989,20701,23688,21087,21120,20744,20726,20873,18825,20542,20096,20873,21382,20769,18168,20230,20404,20798,20837,20478,20448,20684,20362,20175,19280,20878,20682,20651,20886,20903,20849,20188,20893,20888,20418,20497,21437,21084,19854,20805,20670,21821,20990,20645,20699,20550,20595,20327,20478,15058,16166,20135,19899,20677,19414,19250,19762,21030,23210,19353,18016,20283,21640,21748,24192,23567,23765,23751,23614,23913,23786,23850,23901,20437,20152,20505,20160,20009,20636,22285,22911,19329,20278,20437,21260,20511,20477,21557,21366,20655,20966,20728,20483,20731,21166,21459,19716,20137,19328,20547,20654,21783,21448,20426,24301,20886,20942,21061,20899,20644,20511,20746,20851,20570,20480,22101,20275,20714,20480,20912,20841,20901,20537,20246,20615,20691,20404,16444,20459,22910,21194,20231,21707,20699,20817,21322,20846,20565,20471,20624,20558,20495,21866,20593,20513,20589,20747,20257,20419,20206,20967,20077,18557,21472,20281,20507,20361,19421,20109,20615,20840,20700,20912,23042,20768,20995,20599,19701,20275,21127,20245,20438,20699,20362,20051,23951,22283,20509,20700,20600,21149,20868,21048,20962,20691,20840,20973,20906,20791,21026,20940,21176,21107,19872,20993,20818,20301,21423,21073,20615,20798,19436
1,65944,65007,62075,69733,70670,66425,69514,64544,63960,60556,63747,63587,63414,52806,39121,62765,60185,55163,47678,38719,68202,65870,63235,48640,43310,51341,51061,50389,58467,62097,62601,63027,62904,63656,64075,64460,64254,64722,66791,65116,63829,55636,65643,65272,65483,63318,63093,70340,65460,63561,65350,63636,63986,64118,64281,64943,63013,64771,47309,42721,50205,37521,27034,26751,28543,39025,55941,57856,39108,50573,55506,50239,52665,38982,23596,37677,39637,42868,41234,53260,54607,53725,50094,59651,39007,55343,60860,51064,59302,57719,42271,39770,38980,49194,70198,47971,46404,53841,55076,43145,43038,48281,61097,58495,54925,45400,37220,50293,60660,60370,49756,42548,61276,42592,40815,65951,42955,51594,55651,52647,50429,35318,38997,46748,47619,48379,57205,56969,39781,48684,52223,58623,47843,17614,17087,18963,18267,20197,19897,21290,22955,22883,23477,23622,23492,23859,22977,24671,22356,19558,21694,19699,21746,19575,17867,15865,19957,19811,20111,20031,19792,20023,20045,20092,19995,18902,19687,19962,19997,19831,20263,20104,19964,20750,19994,20016,20003,19796,22233,20045,20117,19987,20423,19797,19906,20149,20029,19895,20214,19999,19795,19979,19830,20314,19798,20070,20129,19987,20064,20197,19975,19409,20137,20551,20795,21640,21068,21781,19448,20074,18950,19597,20715,20154,20462,20903,23667,23331,23685,23522,23265,22823,23544,23001,22815,21933,20771,19949,19813,19957,20176,19280,19554,20723,19674,19883,20411,20707,19850,20619,21468,23161,23118,24200,19809,20635,22052,22398,23006,22374,23621,20015,20409,19868,18821,19925,20176,19854,20095,21349,19923,19778,20058,20291,21073,22395,19894,20127,20030,19945,20246,19816,19858,20267,20280,20256,20371,19702,20043,20085,20399,19936,19987,19929,19905,19706,20138,20242,20111,18874,20134,20213,20014,20182,19962,20152,21741,22712,22691,22712,22890,22860,22872,22934,22966,23491,22896,22975,22986,22656,22917,22996,23037,23309,22849,22607,21280,22234,18630,19485,19991,22833,23175,23366,23124,23097,23069,23241,23039,22720,22916,25428,22574,22888,22464,22872,22107,20258,19990,20078,19350,19650,19357,19644,20055,20661,19937,19353,19219,19490,20108,20365,19570,19854,19887,19967,20491,19728,19895,19842,19967,19874,19508,19799,20151,20853,19705,19917,20462,19707,19659,19995,19872,20183,20058,20006,19786,20651,22368,20873,18451,18988,20239,19510,18739,19436,19804,19994,20065,22155,19778,19961,19956,20079,19849,19178,19195,19570,19874,19499
